model_name,variables,filter_rule,method,variable,coefficient,p_value
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,2pt,const,-0.02510426658663245,0.16012807759760186
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,2pt,Skewness,-0.006831005523448111,0.5348565570230746
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,2pt,Median,-2.2907516860806042e-07,0.329969477946371
model_1,Skewness + Median + Fear and Greed Index,Mean >= 21165.788180,2pt,Fear and Greed Index,0.0007647098912768016,0.019068643829066517
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,1pt,const,-0.01149808060912922,0.569055484551831
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,1pt,Skewness,-0.00518281531750484,0.6784337066293696
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,1pt,Median,-2.679514760463189e-07,0.30875285843822753
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,1pt,Fear and Greed Index,0.0005807942639142583,0.103736514149887
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,2pt,const,-0.011483803236501096,0.5695287941481953
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,2pt,Skewness,-0.005145709191881945,0.6806810218887507
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,2pt,Median,-2.678171112080499e-07,0.3090575428769023
model_1,Skewness + Median + Fear and Greed Index,Mean >= 26613.907988,2pt,Fear and Greed Index,0.000580321944574808,0.10409209472917426
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,1pt,const,-0.01888691167242348,0.4026898004106195
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,1pt,Skewness,-0.010970477702587638,0.33623930072573116
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,1pt,Median,-7.45166801185608e-08,0.888952667344576
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,1pt,Fear and Greed Index,0.0006967053530687284,0.07558683461044989
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,2pt,const,-0.018948923695673085,0.4012867480850185
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,2pt,Skewness,-0.011050265120136566,0.3335345799570928
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,2pt,Median,-7.43083644767218e-08,0.8892586004245551
model_1,Skewness + Median + Fear and Greed Index,Mean <= 58086.787674,2pt,Fear and Greed Index,0.0006980370868206085,0.07516414840666014
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,1pt,const,-0.0044037355845189755,0.820690054325093
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,1pt,Skewness,-0.00720093883253908,0.5060770386247422
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,1pt,Median,-4.436255141463887e-07,0.2804373400761595
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,1pt,Fear and Greed Index,0.0005646754990058175,0.11725707233478254
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,2pt,const,-0.004442149648432955,0.8191950549886522
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,2pt,Skewness,-0.007260306421897178,0.5032416878869329
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,2pt,Median,-4.4362869890314406e-07,0.28042684803447127
model_1,Skewness + Median + Fear and Greed Index,Mean <= 66374.485907,2pt,Fear and Greed Index,0.0005655735349713532,0.11682144193985493
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,1pt,const,-0.005492503452669916,0.7529306411639441
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,1pt,Skewness,-0.006501145683857276,0.5295673681580859
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,1pt,Median,-2.0170898851587896e-07,0.49026868575784555
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,1pt,Fear and Greed Index,0.00042535110104171864,0.1892315015177303
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,2pt,const,-0.005526088629280771,0.7515236187426783
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,2pt,Skewness,-0.00655584503143665,0.5267270658184507
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,2pt,Median,-2.0171083271291055e-07,0.4902596081749897
model_1,Skewness + Median + Fear and Greed Index,Mean <= 96175.901226,2pt,Fear and Greed Index,0.0004261365926638417,0.18858886331672112
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,1pt,const,-0.005843531738456588,0.7023271595687155
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,1pt,Skewness,-0.007627417936826631,0.4419468716597319
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,1pt,Median,-3.3896023736210486e-07,0.12093456083822539
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,1pt,Fear and Greed Index,0.0005754136040350473,0.05980348531284966
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,2pt,const,-0.005856276702041447,0.7017058884649101
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,2pt,Skewness,-0.007651054173747277,0.4403311394177223
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,2pt,Median,-3.3904150788384824e-07,0.12084018130664424
model_1,Skewness + Median + Fear and Greed Index,Std >= 905.962517,2pt,Fear and Greed Index,0.0005757920943474675,0.059635534510209094
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,1pt,const,-0.006353067198840745,0.7077100460088613
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,1pt,Skewness,-0.009498983096242322,0.37597302097723373
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,1pt,Median,-3.7923570401412653e-07,0.1142308925038707
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,1pt,Fear and Greed Index,0.0006444481451672068,0.04764809458947545
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,2pt,const,-0.006378518327169062,0.7065946623274753
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,2pt,Skewness,-0.009545020014087217,0.3731993584281236
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,2pt,Median,-3.795053784201642e-07,0.11398269503216561
model_1,Skewness + Median + Fear and Greed Index,Std >= 1391.698789,2pt,Fear and Greed Index,0.0006453199834689818,0.04737844701337638
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,1pt,const,-0.01352909655580108,0.4761886224095879
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,1pt,Skewness,-0.0068441553299583005,0.5364525519971397
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,1pt,Median,-3.0713899410014353e-07,0.23348218903184917
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,1pt,Fear and Greed Index,0.0006685724342743254,0.0439984325049513
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,2pt,const,-0.0135149442189475,0.47661712099644926
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,2pt,Skewness,-0.006816711320598958,0.5378347991161327
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,2pt,Median,-3.070904122401831e-07,0.23357146418493702
model_1,Skewness + Median + Fear and Greed Index,Std >= 1942.592835,2pt,Fear and Greed Index,0.0006682298574580305,0.04409555135833635
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,1pt,const,-0.009565679680159983,0.6263044242877169
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,1pt,Skewness,0.0011212756170232761,0.9356113024622419
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,1pt,Median,-8.277959917694222e-08,0.8167029197835388
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,1pt,Fear and Greed Index,0.0004807177438283963,0.2070507463134393
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,2pt,const,-0.009596395130686755,0.6253520217272786
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,2pt,Skewness,0.0010575802273606156,0.9394178782588698
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,2pt,Median,-8.271025460400801e-08,0.8168555455483775
model_1,Skewness + Median + Fear and Greed Index,Std <= 4990.499057,2pt,Fear and Greed Index,0.0004813435400219417,0.20671283588150247
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,1pt,const,-0.006049431725882689,0.7263055522448701
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,1pt,Skewness,0.0015820942469461793,0.9024568179886476
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,1pt,Median,-9.378746766786448e-08,0.7159422281600984
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,1pt,Fear and Greed Index,0.0004085331791009383,0.24771926071098255
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,2pt,const,-0.006073626290996497,0.7253533107622119
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,2pt,Skewness,0.0015271003198279115,0.9060533956182909
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,2pt,Median,-9.381704889932176e-08,0.7158585963112407
model_1,Skewness + Median + Fear and Greed Index,Std <= 5554.505438,2pt,Fear and Greed Index,0.00040907701053353226,0.24734035430233084
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,1pt,const,-0.004136508628698835,0.7950271982396695
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,1pt,Skewness,0.0006680761446577157,0.956254968397542
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,1pt,Median,-2.15309968025977e-07,0.3255993824806953
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,1pt,Fear and Greed Index,0.000469392652393151,0.1417059510136595
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,2pt,const,-0.0041613435563557484,0.793891721948186
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,2pt,Skewness,0.000611065312087904,0.9600747831346699
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,2pt,Median,-2.1535104013086822e-07,0.3255123613932658
model_1,Skewness + Median + Fear and Greed Index,Std <= 6617.949372,2pt,Fear and Greed Index,0.0004699681565347408,0.1414260500144134
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,1pt,const,-0.006836207442869677,0.6598264160860606
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,1pt,Skewness,-0.010195663897453196,0.3121252451361879
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,1pt,Median,-3.287595780460046e-07,0.13198023716669172
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,1pt,Fear and Greed Index,0.0005878418799149641,0.05282605221916461
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,2pt,const,-0.006845137839462856,0.6594124041051361
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,2pt,Skewness,-0.010211639529810737,0.311299333796989
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,2pt,Median,-3.2891533567241994e-07,0.13181952736226155
model_1,Skewness + Median + Fear and Greed Index,Median >= 11541.060000,2pt,Fear and Greed Index,0.0005882351244778093,0.05272221221023707
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,1pt,const,-0.025110990445076826,0.16007213595135045
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,1pt,Skewness,-0.006833653209987037,0.5348739940418032
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,1pt,Median,-2.2896270847155572e-07,0.33013488939644353
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,1pt,Fear and Greed Index,0.0007646766766658064,0.01906620271196454
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,2pt,const,-0.02510426658663245,0.16012807759760186
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,2pt,Skewness,-0.006831005523448111,0.5348565570230746
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,2pt,Median,-2.2907516860806042e-07,0.329969477946371
model_1,Skewness + Median + Fear and Greed Index,Median >= 21085.300000,2pt,Fear and Greed Index,0.0007647098912768016,0.019068643829066517
model_1,Skewness + Median + Fear and Greed Index,Median >= 26584.620000,1pt,const,-0.01149808060912922,0.569055484551831
model_1,Skewness + Median + Fear and Greed Index,Median >= 26584.620000,1pt,Skewness,-0.00518281531750484,0.6784337066293696
model_1,Skewness + Median + Fear and Greed Index,Median >= 26584.620000,1pt,Median,-2.679514760463189e-07,0.30875285843822753
model_1,Skewness + Median + Fear and Greed Index,Median >= 26584.620000,1pt,Fear and Greed Index,0.0005807942639142583,0.103736514149887
model_1,Skewness + Median + Fear and Greed Index,Median >= 26584.620000,2pt,const,-0.011483803236501096,0.5695287941481953
model_1,Skewness + Median + Fear and Greed Index,Median >= 26584.620000,2pt,Skewness,-0.005145709191881945,0.6806810218887507
