horizon,variables,num_vars,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,winner
1d,Mean + Kurtosis + VIX,3,-0.029906268388025126,-0.0299848963485716,7.862796054647347e-05,1pt
1d,Kurtosis + T-2 Return,2,-0.010638805189356448,-0.01071576369641769,7.695850706124219e-05,1pt
1d,Kurtosis + Median + T-1 Return + T-4 Return,4,-0.03306982974123063,-0.03314671689399362,7.68871527629944e-05,1pt
1d,Skewness + Kurtosis + Median + T-1 Return,4,-0.03151382606748232,-0.031589762749708816,7.593668222649619e-05,1pt
1d,Mean + Std + Median + T-2 Return,4,-0.07058856999718044,-0.0706638782500475,7.530825286705678e-05,1pt
1d,Std + Kurtosis + Median + T-3 Return,4,-0.07164559654962388,-0.07171925675239987,7.366020277599361e-05,1pt
1d,Kurtosis + T-1 Return + T-2 Return,3,-0.011096767342197333,-0.011169273704762395,7.250636256506127e-05,1pt
1d,Kurtosis + VIX + T-2 Return,3,-0.011652580789131228,-0.01172436678866351,7.178599953228115e-05,1pt
1d,Kurtosis + T-3 Return + T-4 Return,3,-0.014345622874561093,-0.014415065027402862,6.944215284176991e-05,1pt
1d,Kurtosis + Fear and Greed Index + VIX + T-2 Return,4,-0.015797060119260076,-0.015866095469128982,6.903534986890669e-05,1pt
1d,Kurtosis,1,-0.006306357486037584,-0.006375305203880854,6.89477178432707e-05,1pt
1d,Mean + Kurtosis + T-2 Return,3,-0.033686574796151225,-0.0337553288657193,6.875406956807772e-05,1pt
1d,Kurtosis + T-1 Return,2,-0.00643145018463831,-0.006500116343243878,6.866615860556813e-05,1pt
1d,Kurtosis + T-2 Return + T-3 Return + T-4 Return,4,-0.01983567682173537,-0.01990395537744516,6.827855570978869e-05,1pt
1d,Mean + Kurtosis,2,-0.028679033910277152,-0.02874541988633439,6.638597605723717e-05,1pt
1d,Mean + Std + Median + VIX,4,-0.06530444305950756,-0.06537014276944753,6.569970993997032e-05,1pt
1d,Mean + Kurtosis + VIX + T-1 Return,4,-0.028729603135466242,-0.028795127728257652,6.552459279141054e-05,1pt
1d,Mean + Kurtosis + Median + T-4 Return,4,-0.038353155724781596,-0.03841823211667372,6.50763918921271e-05,1pt
1d,Kurtosis + VIX + T-3 Return + T-4 Return,4,-0.015001098160976722,-0.015066100716167208,6.500255519048537e-05,1pt
1d,Mean + Kurtosis + VIX + T-2 Return,4,-0.03549988759727296,-0.03556430104411468,6.441344684171568e-05,1pt
1d,Mean + Skewness + Median + T-1 Return,4,-0.03176226916862812,-0.03182512678866134,6.285762003321871e-05,1pt
1d,Kurtosis + VIX + T-1 Return + T-2 Return,4,-0.01198903542531804,-0.012051773656707176,6.27382313891367e-05,1pt
1d,Mean + Std + Kurtosis + Median,4,-0.06895245702164865,-0.06901489338506317,6.243636341451975e-05,1pt
1d,Kurtosis + Fear and Greed Index + T-2 Return,3,-0.015742657625119838,-0.01580487303382405,6.221540870421371e-05,1pt
1d,Kurtosis + VIX,2,-0.007502431256718234,-0.00756436022372764,6.192896700940587e-05,1pt
1d,Kurtosis + T-1 Return + T-3 Return + T-4 Return,4,-0.014804278503959267,-0.014864957864119788,6.0679360160520446e-05,1pt
1d,Kurtosis + Fear and Greed Index + VIX,3,-0.01162447297021263,-0.011684390121400545,5.991715118791596e-05,1pt
1d,Mean + Kurtosis + T-3 Return + T-4 Return,4,-0.036432045660013346,-0.036491912101405344,5.986644139199804e-05,1pt
1d,Kurtosis + VIX + T-1 Return,3,-0.0075453049101457115,-0.0076021760190778664,5.687110893215497e-05,1pt
1d,Kurtosis + Fear and Greed Index + VIX + T-1 Return,4,-0.011567737070156792,-0.011624576597217162,5.683952706037054e-05,1pt
1d,Kurtosis + Fear and Greed Index + T-1 Return + T-2 Return,4,-0.015924185986710526,-0.01598003698988193,5.5851003171403235e-05,1pt
1d,Mean + Std + Median + Fear and Greed Index,4,-0.07259616560431748,-0.07265168660245602,5.5520998138547384e-05,1pt
1d,Mean + Kurtosis + T-1 Return,3,-0.02765960224592723,-0.027714562669602705,5.496042367547638e-05,1pt
1d,Mean + Kurtosis + T-1 Return + T-2 Return,4,-0.032801380492234244,-0.03285604143152643,5.466093929218374e-05,1pt
1d,Kurtosis + Fear and Greed Index,2,-0.01141467681745012,-0.011469167891288823,5.4491073838702775e-05,1pt
1d,Mean + Skewness + Kurtosis + T-3 Return,4,-0.03353459402561354,-0.03358862794004103,5.403391442748706e-05,1pt
1d,Kurtosis + Median + T-2 Return,3,-0.03375094273741008,-0.03380483119012734,5.388845271725451e-05,1pt
1d,Skewness + Kurtosis + VIX + T-3 Return,4,-0.011900114280658958,-0.011952689067930455,5.257478727149767e-05,1pt
1d,Kurtosis + Fear and Greed Index + T-1 Return,3,-0.011291649657089176,-0.011343760284620252,5.211062753107676e-05,1pt
1d,Kurtosis + Fear and Greed Index + T-3 Return + T-4 Return,4,-0.01924146606592636,-0.019287017498379688,4.5551432453327934e-05,1pt
1d,Skewness + Kurtosis + T-3 Return,3,-0.011155138216864424,-0.011198300394799743,4.3162177935318624e-05,1pt
1d,Skewness + T-1 Return + T-2 Return + T-4 Return,4,-0.011219017887832194,-0.011262048217304477,4.303032947228225e-05,1pt
1d,Skewness + Kurtosis + T-2 Return + T-3 Return,4,-0.016092524798191787,-0.01613538157427241,4.2856776080624215e-05,1pt
1d,Kurtosis + Median,2,-0.028914771927317062,-0.028957372471608345,4.260054429128246e-05,1pt
1d,Skewness + T-1 Return + T-2 Return,3,-0.007246258590340782,-0.007288853302009679,4.259471166889739e-05,1pt
1d,Kurtosis + Median + VIX + T-2 Return,4,-0.034685077673858755,-0.034724776723573436,3.969904971468097e-05,1pt
1d,Skewness + T-2 Return + T-4 Return,3,-0.01199226647966789,-0.012031353535625122,3.908705595723205e-05,1pt
1d,Skewness + T-2 Return,2,-0.007968684443811158,-0.008007304366425716,3.861992261455782e-05,1pt
1d,Kurtosis + Median + VIX,3,-0.02940424594721014,-0.029442596854893033,3.835090768289362e-05,1pt
1d,Mean + Skewness + Median + T-2 Return,4,-0.03527984710710985,-0.03531631261966717,3.646551255731545e-05,1pt
1d,Kurtosis + Median + T-3 Return + T-4 Return,4,-0.036490126128960076,-0.03652584262560876,3.571649664868559e-05,1pt
1d,Skewness + VIX + T-1 Return + T-2 Return,4,-0.008022071094852645,-0.008057650114567272,3.5579019714626625e-05,1pt
1d,Kurtosis + Median + T-1 Return + T-2 Return,4,-0.03325243682221135,-0.03328778279746847,3.5345975257117246e-05,1pt
1d,Skewness + Kurtosis + Median + T-3 Return,4,-0.033515616701583095,-0.03354962043955689,3.4003737973797854e-05,1pt
1d,Skewness + T-1 Return + T-4 Return,3,-0.006898720469961983,-0.006932667435217255,3.394696525527152e-05,1pt
1d,Skewness + Fear and Greed Index + VIX + T-2 Return,4,-0.012967355061998198,-0.013000861860593238,3.350679859503991e-05,1pt
1d,Skewness + T-1 Return,2,-0.0027593779085923753,-0.0027921836435766956,3.280573498432027e-05,1pt
1d,Skewness + T-4 Return,2,-0.007807916779269952,-0.007839814324358096,3.189754508814424e-05,1pt
1d,Skewness + T-1 Return + T-2 Return + T-3 Return,4,-0.00992714313230092,-0.009958504813788682,3.136168148776264e-05,1pt
1d,Skewness + Fear and Greed Index + T-1 Return + T-2 Return,4,-0.01246761523279516,-0.012498833270477627,3.121803768246778e-05,1pt
1d,Skewness,1,-0.0036918862775270345,-0.003722527654648866,3.064137712183168e-05,1pt
1d,Mean + Std + Kurtosis + Fear and Greed Index,4,-0.07121171077074862,-0.07124145832371465,2.974755296603071e-05,1pt
1d,Skewness + VIX + T-2 Return + T-4 Return,4,-0.012732292443662141,-0.012762033022751806,2.974057908966543e-05,1pt
1d,Mean + Skewness + Median + T-4 Return,4,-0.034680301650379164,-0.03470937509397465,2.907344359548425e-05,1pt
1d,Skewness + VIX + T-2 Return,3,-0.008820347452896726,-0.008849015242393898,2.866778949717208e-05,1pt
1d,Kurtosis + Median + T-1 Return,3,-0.028228184266268608,-0.02825642074456569,2.8236478297083423e-05,1pt
1d,Mean + Skewness + Median + VIX,4,-0.031301760148047864,-0.031329828896599965,2.8068748552101397e-05,1pt
1d,Mean + Skewness + Median,3,-0.030948379249358338,-0.030975913849963455,2.753460060511692e-05,1pt
1d,Skewness + Fear and Greed Index + T-2 Return,3,-0.013375767478461809,-0.013402937460587516,2.7169982125707648e-05,1pt
1d,Skewness + Fear and Greed Index + T-2 Return + T-4 Return,4,-0.01730953397555557,-0.017336249662021075,2.671568646550604e-05,1pt
1d,Skewness + VIX + T-1 Return + T-4 Return,4,-0.007808901006298941,-0.007834921709374276,2.602070307533566e-05,1pt
