model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0010,Skewness + T-4 Return,2,1196,0.02805817031941671,0.02642876239036296,-4956.10024375016,-4940.840029946628,Skewness,8.013759808861304e-09,True
model_0022,Skewness + Std + T-1 Return,3,1196,0.029041845745042205,0.02659815911520602,-4955.311295188009,-4934.964343449967,Skewness,8.274563624861121e-09,True
model_0007,Skewness + T-1 Return,2,1196,0.028617010420147748,0.02698853935630896,-4956.788108971942,-4941.52789516841,Skewness,8.400727140636337e-09,True
model_0092,Skewness + Std + T-1 Return + T-4 Return,4,1196,0.02951686225575334,0.026257473044185686,-4953.8965508539795,-4928.462861181427,Skewness,8.667966991598028e-09,True
model_0011,Skewness + Mean + Std,3,1196,0.028475102577671163,0.026029989580802937,-4954.613399938088,-4934.2664482000455,Skewness,8.749531401870133e-09,True
model_0043,Skewness + T-1 Return + T-4 Return,3,1196,0.029088295901449013,0.026644726176368816,-4955.36851260331,-4935.021560865267,Skewness,8.800078746306039e-09,True
model_0053,Skewness + Mean + Std + T-4 Return,4,1196,0.028977164104766917,0.025715962304950768,-4953.231624746134,-4927.797935073581,Skewness,9.05038255401062e-09,True
model_0049,Skewness + Mean + Std + VIX,4,1196,0.02982833176989752,0.02656998863562343,-4954.280459976785,-4928.846770304232,Skewness,9.093087983626098e-09,True
model_0193,Skewness + Std + Median + VIX + T-2 Return,5,1196,0.0322073635170409,0.028141007901566262,-4955.216864318137,-4924.696436711073,Skewness,9.263906366545417e-09,True
model_0145,Skewness + Mean + Std + VIX + T-4 Return,5,1196,0.030303247160928914,0.02622889105656312,-4952.866065487812,-4922.345637880749,Skewness,9.398175465114896e-09,True
model_0066,Skewness + Mean + VIX + T-2 Return,4,1196,0.031806910783005904,0.028555212750371095,-4956.722086417268,-4931.288396744715,Skewness,1.02306013805814e-08,True
model_0050,Skewness + Mean + Std + T-1 Return,4,1196,0.029420413110988863,0.026160699972822554,-4953.777695161406,-4928.344005488853,Skewness,1.0246883786326312e-08,True
model_0148,Skewness + Mean + Std + T-1 Return + T-4 Return,5,1196,0.029903995297238972,0.025827961664034116,-4952.373739455704,-4921.85331184864,Skewness,1.0579212456308734e-08,True
model_0181,Skewness + Mean + VIX + T-2 Return + T-4 Return,5,1196,0.03231758524918549,0.028251692750232538,-4955.353084303718,-4924.832656696654,Skewness,1.0586774398331153e-08,True
model_0142,Skewness + Mean + Std + VIX + T-1 Return,5,1196,0.0307430856438643,0.026670577600351186,-4953.408674466576,-4922.888246859512,Skewness,1.0621114669509265e-08,True
model_0177,Skewness + Mean + VIX + T-1 Return + T-2 Return,5,1196,0.032690597857713444,0.02862627263862827,-4955.814195385877,-4925.293767778813,Skewness,1.1587570572077916e-08,True
